,id,title,release_date,vote_average,overview,genre_ids,popularity,poster_path,genres,release_year
0,1197306,A Working Man,2025-03-26,6.437,"Levon Cade left behind a decorated military career in the black ops to live a simple life working construction. But when his boss's daughter, who is like family to him, is taken by human traffickers, his search to bring her home uncovers a world of corruption far greater than he ever could have imagined.","[28, 80, 53]",581.2791,/xUkUZ8eOnrOnnJAfusZUqKYZiDu.jpg,"Action, Crime, Thriller",2025
1,668489,Havoc,2025-04-24,6.7,"When a drug heist swerves lethally out of control, a jaded cop fights his way through a corrupt city's criminal underworld to save a politician's son.","[28, 80, 53]",584.7785,/r46leE6PSzLR3pnVzaxx5Q30yUF.jpg,"Action, Crime, Thriller",2025
2,950387,A Minecraft Movie,2025-03-31,6.179,"Four misfits find themselves struggling with ordinary problems when they are suddenly pulled through a mysterious portal into the Overworld: a bizarre, cubic wonderland that thrives on imagination. To get back home, they'll have to master this world while embarking on a magical quest with an unexpected, expert crafter, Steve.","[10751, 35, 12, 14]",408.6823,/iPPTGh2OXuIv6d7cwuoPkw8govp.jpg,"Family, Comedy, Adventure, Fantasy",2025
3,1471014,Van Gogh by Vincent,2025-03-26,6.125,"In a career that lasted only ten years, Vincent Van Gogh painted one subject more than any other: himself. This is the story of Vincent told using eight of his most iconic self-portraits.",[99],389.5467,/z73X4WKZghBh5fri31o8P6vBEB2.jpg,Documentary,2025
4,1276073,Bullet Train Explosion,2025-04-23,6.747,"When panic erupts on a Tokyo-bound bullet train that will explode if it slows below 100 kph, authorities race against time to save everyone on board.","[28, 53, 80, 18]",326.4027,/qkTKtOHK9JEEOHgPQZ0dFtzs5ML.jpg,"Action, Thriller, Crime, Drama",2025
5,324544,In the Lost Lands,2025-02-27,6.326,"A queen sends the powerful and feared sorceress Gray Alys to the ghostly wilderness of the Lost Lands in search of a magical power, where she and her guide, the drifter Boyce, must outwit and outfight both man and demon.","[28, 14, 12]",288.7711,/twy1IVJFgaZWA21Sr6kohEOmdFW.jpg,"Action, Fantasy, Adventure",2025
6,1092899,The Siege,2023-03-10,5.456,"International assassin Walker is compromised during a mission and sent to a reassignment center for a new identity. During his stay at the facility, a ruthless assault team storms the compound searching for someone their boss has lost. Walker begrudgingly falls in with skilled hitwoman Elda and her mysterious ward Juliet in order to survive the night.","[28, 53]",248.6815,/hVh4hMzkXNLnScudbid6hDvjMPk.jpg,"Action, Thriller",2023
7,822119,Captain America: Brave New World,2025-02-12,6.153,"After meeting with newly elected U.S. President Thaddeus Ross, Sam finds himself in the middle of an international incident. He must discover the reason behind a nefarious global plot before the true mastermind has the entire world seeing red.","[28, 53, 878]",247.2469,/pzIddUEMWhWzfvLI3TwxUG2wGoi.jpg,"Action, Thriller, Science Fiction",2025
8,1180906,Desert Dawn,2025-05-15,0.0,A newly appointed small-town sheriff and his begrudging deputy get tangled up in a web of lies and corruption involving shady businessmen and the cartel while investigating the murder of a mysterious woman.,"[28, 80, 9648, 53]",248.4328,/S21BfLrJSD9njucBfY3CKqp8rD.jpg,"Action, Crime, Mystery, Thriller",2025
9,1233413,Sinners,2025-04-16,7.6,"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.","[27, 53]",229.0284,/jYfMTSiFFK7ffbY2lay4zyvTkEk.jpg,"Horror, Thriller",2025
